avg_gpu_utilization,avg_memory_utilization
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.02
0.00,0.60
7.50,24.11
4.25,24.11
4.75,24.11
3.25,24.11
4.00,24.11
3.50,24.11
4.75,24.11
4.50,24.11
4.25,24.11
3.00,24.11
3.25,24.11
4.00,24.11
3.25,24.11
4.25,24.11
3.50,24.11
4.00,24.11
3.50,24.11
4.00,24.11
4.50,24.11
3.75,24.11
6.25,24.11
4.75,24.11
5.00,24.11
0.00,23.98
2.25,25.74
50.00,25.74
0.00,39.58
0.00,45.83
21.75,45.84
0.00,45.84
29.75,45.84
0.00,45.84
28.25,45.84
0.00,45.84
35.75,45.84
0.00,45.84
30.50,45.84
0.00,45.84
34.25,45.84
0.00,45.84
31.50,45.84
0.00,45.84
3.00,45.84
0.00,45.84
29.75,45.84
0.00,45.85
30.00,45.85
0.00,45.85
30.75,45.85
0.00,45.85
31.50,45.85
0.00,45.85
31.00,45.85
0.00,45.85
23.75,45.85
0.00,45.85
33.25,45.85
33.50,45.85
32.00,45.85
34.50,45.85
31.75,45.85
31.25,45.85
34.25,45.85
33.75,45.85
32.00,45.85
32.25,45.85
31.25,45.85
31.50,45.85
32.75,45.85
30.00,45.85
33.50,45.85
33.25,45.85
30.50,45.85
34.25,45.85
33.00,45.85
31.00,45.85
33.75,45.85
32.25,45.85
33.50,45.85
33.25,45.85
30.75,45.85
0.00,45.72
25.25,39.93
3.00,36.26
31.00,33.54
30.25,33.54
30.25,33.54
30.75,33.54
31.00,33.54
30.75,33.56
32.50,34.08
31.75,34.73
30.75,34.77
31.50,35.07
35.50,60.90
36.50,60.90
35.75,60.90
35.50,60.90
36.25,60.90
38.50,60.90
38.00,60.90
37.75,60.90
37.75,60.90
37.75,60.90
37.00,60.90
35.25,60.90
2.50,60.90
25.50,44.31
25.00,28.15
0.00,28.27
0.00,28.57
100.00,30.39
8.75,29.13
0.00,71.58
0.00,90.84
0.00,92.42
0.00,92.42
42.00,92.45
0.00,92.45
37.50,92.45
0.00,92.45
37.50,92.45
0.00,92.45
36.25,92.45
74.00,92.45
39.25,92.45
5.00,92.45
38.00,92.45
0.00,92.45
34.75,92.45
6.25,92.45
36.50,92.45
10.00,92.45
38.75,92.45
0.00,92.45
30.75,92.45
0.00,92.45
4.25,92.45
6.75,92.45
0.50,92.45
17.75,92.45
12.00,92.45
38.00,92.45
2.25,92.45
39.25,92.45
0.00,92.45
40.00,92.47
0.25,92.47
34.50,92.50
7.75,92.50
25.00,92.50
0.00,92.53
32.50,92.53
2.00,92.53
66.75,92.56
66.00,92.56
64.00,92.56
67.25,92.56
60.25,92.56
64.25,92.56
62.25,92.56
63.75,92.56
65.00,92.56
66.75,92.56
66.00,92.56
64.00,92.56
63.75,92.56
59.00,92.56
61.75,92.56
62.75,92.56
67.25,92.56
61.75,92.56
62.75,92.56
62.25,92.56
62.75,92.56
39.00,92.56
62.50,92.56
62.75,92.56
58.50,92.56
61.50,92.56
64.25,92.56
63.75,92.56
65.75,92.56
63.25,92.56
64.75,92.56
64.50,92.56
66.25,92.56
58.75,92.56
65.25,92.56
65.25,92.56
62.75,92.56
62.25,92.56
60.00,92.56
63.00,92.56
64.00,92.56
63.75,92.56
70.25,92.56
62.50,92.56
63.00,92.56
63.50,92.56
63.00,92.56
62.00,92.56
63.00,92.56
64.50,92.56
65.00,92.56
62.00,92.56
64.25,92.56
64.75,92.56
65.00,92.56
63.50,92.56
61.50,92.56
61.50,92.56
61.75,92.56
65.50,92.56
63.75,92.56
66.25,92.56
64.25,92.56
65.00,92.56
64.25,92.56
64.00,92.56
61.50,92.56
60.25,92.56
59.25,92.56
61.00,92.56
59.25,92.56
61.50,92.56
61.75,92.56
62.50,92.56
57.50,92.56
61.75,92.56
62.75,92.56
61.00,92.56
55.25,92.56
59.50,92.56
61.00,92.56
61.25,92.56
62.00,92.56
61.50,92.56
63.00,92.56
59.75,92.56
62.50,92.56
60.00,92.56
59.50,92.56
60.50,92.56
60.00,92.56
62.00,92.56
59.50,92.56
62.50,92.56
59.75,92.56
59.50,92.56
62.50,92.56
59.50,92.56
61.25,92.56
62.25,92.56
60.25,92.56
60.50,92.56
59.25,92.56
60.25,92.56
62.00,92.56
60.75,92.56
60.50,92.56
60.75,92.56
62.00,92.56
62.25,92.56
60.00,92.56
60.25,92.56
58.75,92.56
59.00,92.56
57.00,92.56
55.50,92.56
58.00,92.56
62.25,92.56
61.00,92.56
55.50,92.56
61.00,92.56
60.25,92.56
62.75,92.56
62.00,92.56
61.00,92.56
61.50,92.56
59.25,92.56
37.75,92.56
61.75,92.56
65.25,92.56
63.00,92.56
58.25,92.56
63.25,92.56
62.25,92.56
